,matric,att,cps4w7,cps7w7,cps4w14,cps7w14,amali,quiz,Predict
0,195785,94.7,2,5,3,6,7,8,45.56586075747451
1,199731,96.7,3,3,1,4,7,8,35.563606430232326
2,199735,95.3,6,4,2,4,6,5,34.51964738157085
3,195461,99.3,10,8,4,9,9,9,84.68989181844553
4,195471,94.7,10,8,4,8,9,10,83.50568541515885
5,195674,99.3,9,3,4,5,8,8,55.46891727497268
6,195686,100.0,2,7,0,4,7,5,33.91342352246119
7,195797,98.0,10,10,6,6,9,8,78.05671858781963
8,195820,99.3,8,8,8,7,9,9,77.69266214249235
9,195845,98.0,10,9,10,9,9,10,93.54502903714058
10,195892,89.5,10,9,9,9,9,10,92.72352933774614
11,195988,90.9,9,6,7,7,9,8,72.97629223191993
12,196359,93.2,10,10,4,8,9,8,82.97407581700797
13,196488,98.3,10,8,10,10,9,10,94.99504023950271
14,196559,95.9,10,8,7,7,9,9,80.59403428865164
15,196777,87.8,9,8,3,5,9,9,68.88624294031979
16,197255,99.3,10,9,5,7,9,10,82.87717391219115
17,197465,87.8,10,7,7,6,9,8,73.38771695233464
18,197841,91.2,10,8,9,10,9,10,94.17354054010826
19,197892,93.2,10,7,9,9,9,10,89.06319511449318
20,197912,98.3,10,7,2,7,9,10,76.75234059075488
21,197994,95.9,10,10,9,7,9,10,87.9933398213954
22,197996,87.8,10,8,8,6,9,9,78.13535567405746
23,198067,99.3,10,7,6,8,9,9,81.22254579161934
24,198394,87.8,10,7,6,9,9,8,82.40675219490603
25,198873,87.8,10,9,6,7,9,8,79.50672979018178
26,199584,87.8,10,5,6,6,9,10,73.09782685109109
27,199601,87.8,10,5,4,5,9,8,63.98270531690976
28,199639,95.3,8,4,2,4,8,6,46.322526929640986
29,199643,99.3,8,4,6,7,7,7,58.55301468397923
