,attendance,cps4W7,cps7W7,cps4W14,cps7W14,amali,quiz,cps4Final,cps7Final,cps8Final,total,pre
195461,0.993,9.5,7.5,3.5,8.25,8.2,8.7,8,12.25,9,74.9,64.9
195471,0.947,10,7.5,3.5,7.5,8.4,9.3,5.5,14.25,6.5,72.45,81.45
195674,0.993,8.75,3,3.5,4.5,8,7.7,4.5,6,4.5,50.45,45.45
195686,1,1.75,6.25,0,3.25,6.4,4.5,0,0.5,0,22.65,38.65
195785,0.947,2,4.5,2.5,5.75,6.4,7.2,3,6.75,4,42.1,50.4
195797,0.98,10,9.25,6,6,8.8,7.5,10,14.75,6.5,78.8,66.07
195820,0.993,7.5,8,7.5,6.5,8.6,9,10,13,8,78.1,72.73
195845,0.98,10,8.75,10,9,9,9.3,10,17,10,93.05,75.95
195892,0.895,10,8.5,8.5,8.5,8.6,9.2,8,10,10,81.3,62.49
195988,0.909,9,5.75,6.5,6.75,8.8,8,9,14.25,10,78.05,81.05
196359,0.932,9.5,9.25,3.75,7.5,8.6,8,7,16,10,79.6,70.73
196488,0.983,10,8,10,9.75,8.8,9.5,10,16.75,10,92.8,88.6
196559,0.959,10,7.75,7,7,9,9,10,11,8,78.75,67.29
196777,0.878,9,7.25,3,5,8.6,8.8,8.5,7.5,8,65.65,50.65
197255,0.993,10,8.75,5,7,8.6,9.3,7,9.75,9,74.4,63.87
197465,0.878,10,7,6.75,6,8.6,7.8,9,15.5,9.5,80.15,88.13
197841,0.912,10,7.75,9,9.5,9,9.8,8.5,14,8.5,86.05,76.8
197892,0.932,10,6.75,8.25,8.5,8.8,9.7,10,14,9,85,75.77
197912,0.983,10,6.25,1.75,7,8.6,9.3,10,17.75,9,79.65,60.32
197994,0.959,9.5,9.25,8.5,6.75,8.6,9.3,9.5,15.5,8.5,85.4,67.69
197996,0.878,9.5,7.75,7.75,5.5,8.6,8.7,6,7.5,6,67.3,47.3
198067,0.993,10,7,6,7.25,8.6,8.8,10,19.5,6.5,83.65,80.23
198394,0.878,9.5,7,5.25,8.25,8.8,8,10,9.25,10.2,76.25,72.1
198873,0.878,10,8.5,5.25,6.25,8.8,7.8,9,11.25,9,75.85,56.5
199584,0.878,10,5,6,6,8.8,9.2,4,7.25,6,62.25,47.2
199601,0.878,9.5,4.5,3.5,4.5,8.6,8,7,4,9,58.6,47.83
199639,0.953,8,3.5,2,4,7.2,5.7,1,5,5,41.4,32.4
199643,0.993,7.5,4,5.5,7,6.6,6.3,6,9.25,6.5,58.65,63.65
199731,0.967,3,2.25,0.75,3.75,6.6,7.3,2,4.25,5,34.9,20.9
199735,0.953,5.5,3.25,2,3.75,6,4.5,2,1,5,33,53
