Matric,SU1,Smid,Sfin,Att,MU1,Mmid,Mfin
190650,87,92,97,0.947,64,83,81
190644,82,93,96,0.967,86,93,88
213434,88,92,96,0.953,54,53,59
213434,76,94,95,0.993,73,89,81
213434,93,94,95,0.947,85,86,86
213434,93,94,95,0.993,76,86,91
213434,95,93,92,1,86,85,87
213434,92,82,92,0.98,76,74,85
213434,84,88,91,0.993,63,59,63
213434,89,88,90,0.98,74,91,79
213434,70,77,85,0.895,81,87,72
213434,87,87,84,,76,88,83
213434,74,75,83,0.967,43,61,54
213434,63,70,81,,59,50,51
213434,37,51,37,0.96,70,71,80
213434,67,72,80,0.959,70,73,71
213434,70,81,80,,48,57,44
213434,83,86,79,1,81,93,91
213434,79,77,78,1,63,87,75
213434,74,78,77,0.993,76,83,76
213434,76,80,76,,46,50,41
213434,58,70,75,0.959,61,73,74
213434,73,62,73,0.993,84,96,91
213434,65,61,73,,47,73,55
213434,60,65,73,,44,51,40
213434,67,65,72,0.953,70,65,63
213434,62,67,70,1,58,64,52
213434,60,66,70,1,51,51,45
213434,73,77,70,0.987,86,90,87
213434,71,66,70,1,84,93,94
213434,61,65,70,,54,60,45
213434,56,64,70,,53,56,44
213434,66,63,70,,42,40,50
213434,70,80,70,0.972,51,56,50
213434,70,63,68,0.928,64,69,73
213434,70,64,67,,80,90,70
213434,50,48,66,0.909,43,41,40
213434,53,60,66,0.932,29,24,21
213434,61,60,65,0.983,33,44,29
213434,59,59,65,0.959,37,51,51
213434,68,66,64,1,80,89,84
213434,48,45,62,0.989,37,40,29
213434,55,50,62,,41,34,33
213434,58,53,61,0.926,36,24,34
213434,66,59,61,0.912,43,48,41
213434,51,50,60,,35,39,28
213434,50,62,60,0.966,36,31,26
213434,55,50,57,0.989,39,45,29
213434,51,65,57,,60,72,59
213434,51,48,56,0.966,35,34,24
213434,42,50,55,0.993,26,33,27
213434,45,46,55,0.966,37,42,24
213434,62,53,55,0.813,56,53,40
213434,55,51,55,,40,31,24
213434,40,40,53,0.966,43,26,20
213434,52,44,53,0.993,64,68,58
213434,55,53,52,0.973,33,34,43
213434,54,63,51,0.905,42,30,25
213434,54,47,50,0.946,30,41,44
213434,51,52,50,0.977,53,36,29
213434,56,57,50,,37,51,41
213434,61,51,48,1,39,38,37
213434,31,49,48,,34,54,39
213434,40,33,47,0.878,16,19,16
213434,44,49,47,0.966,24,29,28
213434,43,43,46,,35,37,29
213434,43,43,46,0.966,46,52,29
213434,44,36,45,0.932,42,54,40
213434,40,40,45,0.847,49,51,28
213434,53,46,42,1,49,48,51
213434,24,27,40,0.946,16,14,11
213434,36,11,40,0.973,38,33,32
213434,35,40,40,0.959,14,9,14
213434,28,25,40,0.818,14,11,19
213434,40,35,40,0.892,50,50,26
213434,41,43,37,,44,51,46
213434,43,38,35,,0,34,24
213434,26,28,34,0.878,29,25,22
213434,30,26,33,0.993,22,32,24
213434,30,28,32,0.878,26,31,21
213434,16,17,32,0.912,13,16,13
213434,24,21,30,0.993,13,16,17
213434,18,42,27,0.905,14,12,12
213434,14,37,27,0.986,23,24,19
213434,16,15,25,0.845,10,10,9
213434,22,22,24,0.757,0,11,11
213434,17,17,23,0.953,17,20,14
213434,22,31,22,0.892,16,6,11
213434,30,17,21,0.709,18,16,14
